SDUCK LEVEL 1 POSITION LOG
0     0, 0.17
0     0, 0.33
0.02     0, 0.49
0.04     0, 0.57
0.06     0, 0.68
0.1     0, 0.81
0.13     0, 0.96
0.16     0, 1.11
0.2     0, 1.26
0.23     0, 1.42
0.26     0, 1.58
0.3     0, 1.74
0.33     0, 1.9
0.36     0, 2.07
0.4     0, 2.23
0.43     0, 2.4
0.46     0, 2.56
0.5     0, 2.73
0.53     0, 2.89
0.56     0, 3.06
0.6     0, 3.22
0.62     0, 3.38
0.65     0, 3.53
0.68     0, 3.69
0.71     0, 3.84
0.75     0, 4
0.78     0, 4.16
0.81     0.01, 4.32
0.85     0.02, 4.49
0.88     0.03, 4.65
0.91     0.06, 4.81
0.95     0.1, 4.97
0.98     0.14, 5.13
1.01     0.2, 5.28
1.05     0.28, 5.43
1.08     0.37, 5.57
1.11     0.47, 5.7
1.15     0.59, 5.82
1.18     0.72, 5.92
1.21     0.86, 6.01
1.25     1.01, 6.09
1.28     1.16, 6.15
1.31     1.32, 6.19
1.35     1.49, 6.22
1.38     1.66, 6.22
1.41     1.82, 6.22
1.45     1.99, 6.19
1.48     2.15, 6.15
1.51     2.3, 6.09
1.55     2.45, 6.01
1.58     2.59, 5.92
1.61     2.72, 5.82
1.65     2.85, 5.71
1.68     2.97, 5.59
1.71     3.08, 5.47
1.75     3.19, 5.34
1.78     3.29, 5.21
1.81     3.39, 5.07
1.85     3.48, 4.94
1.88     3.58, 4.81
1.91     3.68, 4.67
1.95     3.78, 4.54
1.98     3.88, 4.4
2.01     3.97, 4.27
2.05     4.07, 4.13
2.08     4.17, 4
2.11     4.27, 3.86
2.15     4.37, 3.73
2.18     4.46, 3.59
2.21     4.55, 3.45
2.25     4.63, 3.3
2.28     4.71, 3.15
2.31     4.77, 3
2.35     4.83, 2.84
2.38     4.87, 2.68
2.41     4.9, 2.52
2.45     4.9, 2.35
2.48     4.9, 2.19
2.51     4.87, 2.02
2.55     4.83, 1.86
2.58     4.77, 1.7
2.61     4.7, 1.55
2.65     4.62, 1.41
2.68     4.52, 1.27
2.71     4.43, 1.13
2.75     4.32, 1
2.78     4.22, 0.87
2.81     4.11, 0.75
2.85     3.99, 0.63
2.88     3.88, 0.5
2.91     3.77, 0.38
2.95     3.66, 0.25
2.98     3.55, 0.13
3.01     3.44, 0.01
3.05     3.32, -0.12
3.08     3.21, -0.24
3.11     3.1, -0.36
3.15     2.99, -0.49
3.18     2.88, -0.61
3.21     2.77, -0.74
