SDUCK LEVEL 1 POSITION LOG
0     0, 0.08
0     0, 0.17
0.02     0, 0.25
0.04     0, 0.34
0.05     0, 0.42
0.07     0, 0.5
0.08     0, 0.58
0.1     0, 0.66
0.13     0, 0.75
0.16     0, 0.87
0.19     0, 0.99
0.23     0, 1.13
0.26     0, 1.27
0.29     0, 1.41
0.33     0, 1.57
0.36     0, 1.72
0.39     0, 1.88
0.43     0, 2.04
0.46     0, 2.2
0.49     0, 2.36
0.53     0, 2.52
0.56     0, 2.69
0.59     0, 2.85
0.63     0, 3.02
0.66     0, 3.18
0.69     0, 3.35
0.73     0, 3.51
0.76     0, 3.68
0.79     0, 3.84
0.83     0, 4.01
0.86     0, 4.18
0.89     0, 4.34
0.93     0, 4.51
0.96     0, 4.67
0.99     0, 4.84
1.03     0, 5.01
1.06     0, 5.17
1.09     0, 5.34
1.13     0.01, 5.51
1.16     0.02, 5.67
1.19     0.03, 5.84
1.23     0.06, 6
1.26     0.1, 6.17
1.29     0.15, 6.33
1.33     0.21, 6.48
1.36     0.28, 6.63
1.39     0.37, 6.77
1.43     0.48, 6.9
1.46     0.6, 7.02
1.49     0.73, 7.12
1.53     0.87, 7.21
1.56     1.01, 7.29
1.64     1.22, 7.37
1.66     1.41, 7.39
1.7     1.59, 7.39
1.73     1.78, 7.38
1.76     1.95, 7.35
1.79     2.12, 7.31
1.83     2.29, 7.24
1.86     2.44, 7.16
1.9     2.59, 7.07
1.93     2.72, 6.96
1.96     2.84, 6.84
2     2.95, 6.71
2.03     3.05, 6.57
2.06     3.14, 6.43
2.1     3.22, 6.29
2.13     3.3, 6.14
2.16     3.37, 5.99
2.2     3.44, 5.83
2.23     3.51, 5.68
2.26     3.57, 5.53
2.3     3.64, 5.37
2.33     3.7, 5.22
2.36     3.77, 5.06
2.4     3.82, 4.91
2.43     3.87, 4.75
2.46     3.92, 4.59
2.5     3.95, 4.42
2.53     3.97, 4.26
2.56     3.97, 4.09
2.6     3.96, 3.92
2.63     3.94, 3.76
2.66     3.89, 3.6
2.7     3.84, 3.44
2.73     3.77, 3.29
2.76     3.69, 3.14
2.8     3.61, 3
2.83     3.52, 2.86
