SDUCK LEVEL 1 POSITION LOG
0     0, 0.08
0     0, 0.17
0.02     0, 0.26
0.04     0, 0.34
0.06     0, 0.44
0.08     0, 0.54
0.09     0, 0.63
0.11     0, 0.72
0.13     0, 0.81
0.16     0, 0.92
0.18     0, 1.02
0.19     0, 1.12
0.21     0, 1.21
0.23     0, 1.3
0.24     0, 1.39
0.26     0, 1.48
0.29     0, 1.59
0.31     0, 1.69
0.33     0, 1.79
0.34     0, 1.88
0.36     0, 1.97
0.38     0, 2.06
0.39     0, 2.15
0.41     0, 2.24
0.43     0, 2.33
0.44     0, 2.41
0.48     0, 2.51
0.5     0, 2.61
0.51     0, 2.71
0.53     0, 2.8
0.54     0, 2.89
0.56     0, 2.98
0.58     0, 3.07
0.61     0, 3.17
0.63     0, 3.27
0.64     0, 3.37
0.66     0, 3.46
0.68     0, 3.56
0.7     0, 3.66
0.72     0, 3.75
0.74     0, 3.84
0.76     0.01, 3.94
0.78     0.01, 4.04
0.79     0.02, 4.13
0.81     0.03, 4.22
0.83     0.04, 4.31
0.84     0.05, 4.4
0.86     0.07, 4.49
0.88     0.08, 4.57
0.89     0.11, 4.65
0.93     0.13, 4.75
0.95     0.17, 4.85
0.96     0.21, 4.93
0.98     0.25, 5.02
0.99     0.29, 5.1
1.01     0.34, 5.17
1.03     0.39, 5.24
1.04     0.44, 5.31
1.06     0.5, 5.38
1.09     0.57, 5.45
1.11     0.64, 5.52
1.13     0.72, 5.57
1.14     0.8, 5.63
1.16     0.87, 5.67
1.18     0.95, 5.72
1.19     1.03, 5.75
1.21     1.11, 5.79
1.23     1.2, 5.82
1.24     1.28, 5.84
1.28     1.38, 5.86
1.3     1.48, 5.88
1.31     1.57, 5.88
1.33     1.66, 5.89
1.34     1.75, 5.88
1.36     1.84, 5.88
1.38     1.93, 5.87
1.39     2.02, 5.86
1.41     2.1, 5.84
1.44     2.2, 5.82
1.46     2.3, 5.8
1.48     2.39, 5.77
1.49     2.48, 5.75
1.51     2.57, 5.72
1.53     2.65, 5.69
1.54     2.74, 5.66
1.56     2.82, 5.63
1.59     2.91, 5.59
1.61     3.01, 5.56
1.63     3.1, 5.52
